vorm,modus,tempus,genus,persoon,getal,stam
o,indicativus,praesens,activum,eerste,singularis,praesens
as,indicativus,praesens,activum,tweede,singularis,praesens
at,indicativus,praesens,activum,derde,singularis,praesens
amus,indicativus,praesens,activum,eerste,pluralis,praesens
atis,indicativus,praesens,activum,tweede,pluralis,praesens
ant,indicativus,praesens,activum,derde,pluralis,praesens
abam,indicativus,imperfectum,activum,eerste,singularis,praesens
abas,indicativus,imperfectum,activum,tweede,singularis,praesens
abat,indicativus,imperfectum,activum,derde,singularis,praesens
abamus,indicativus,imperfectum,activum,eerste,pluralis,praesens
abatis,indicativus,imperfectum,activum,tweede,pluralis,praesens
abant,indicativus,imperfectum,activum,derde,pluralis,praesens
abo,indicativus,futurum,activum,eerste,singularis,praesens
abis,indicativus,futurum,activum,tweede,singularis,praesens
abit,indicativus,futurum,activum,derde,singularis,praesens
abimus,indicativus,futurum,activum,eerste,pluralis,praesens
abitis,indicativus,futurum,activum,tweede,pluralis,praesens
abunt,indicativus,futurum,activum,derde,pluralis,praesens
i,indicativus,perfectum,activum,eerste,singularis,perfectum
isti,indicativus,perfectum,activum,tweede,singularis,perfectum
it,indicativus,perfectum,activum,derde,singularis,perfectum
imus,indicativus,perfectum,activum,eerste,pluralis,perfectum
istis,indicativus,perfectum,activum,tweede,pluralis,perfectum
erunt,indicativus,perfectum,activum,derde,pluralis,perfectum
eram,indicativus,plusquamperfectum,activum,eerste,singularis,perfectum
eras,indicativus,plusquamperfectum,activum,tweede,singularis,perfectum
erat,indicativus,plusquamperfectum,activum,derde,singularis,perfectum
eramus,indicativus,plusquamperfectum,activum,eerste,pluralis,perfectum
eratis,indicativus,plusquamperfectum,activum,tweede,pluralis,perfectum
erant,indicativus,plusquamperfectum,activum,derde,pluralis,perfectum
ero,indicativus,futurum exactum,activum,eerste,singularis,perfectum
eris,indicativus,futurum exactum,activum,tweede,singularis,perfectum
erit,indicativus,futurum exactum,activum,derde,singularis,perfectum
erimus,indicativus,futurum exactum,activum,eerste,pluralis,perfectum
eritis,indicativus,futurum exactum,activum,tweede,pluralis,perfectum
erint,indicativus,futurum exactum,activum,derde,pluralis,perfectum
or,indicativus,praesens,passivum,eerste,singularis,praesens
aris,indicativus,praesens,passivum,tweede,singularis,praesens
atur,indicativus,praesens,passivum,derde,singularis,praesens
amur,indicativus,praesens,passivum,eerste,pluralis,praesens
amini,indicativus,praesens,passivum,tweede,pluralis,praesens
antur,indicativus,praesens,passivum,derde,pluralis,praesens
abar,indicativus,imperfectum,passivum,eerste,singularis,praesens
abaris,indicativus,imperfectum,passivum,tweede,singularis,praesens
abatur,indicativus,imperfectum,passivum,derde,singularis,praesens
abamur,indicativus,imperfectum,passivum,eerste,pluralis,praesens
abamini,indicativus,imperfectum,passivum,tweede,pluralis,praesens
abantur,indicativus,imperfectum,passivum,derde,pluralis,praesens
abor,indicativus,futurum,passivum,eerste,singularis,praesens
aberis,indicativus,futurum,passivum,tweede,singularis,praesens
abitur,indicativus,futurum,passivum,derde,singularis,praesens
abimur,indicativus,futurum,passivum,eerste,pluralis,praesens
abimini,indicativus,futurum,passivum,tweede,pluralis,praesens
abuntur,indicativus,futurum,passivum,derde,pluralis,praesens
us sum,indicativus,perfectum,passivum,eerste,singularis,supinum
us es,indicativus,perfectum,passivum,tweede,singularis,supinum
us est,indicativus,perfectum,passivum,derde,singularis,supinum
i sumus,indicativus,perfectum,passivum,eerste,pluralis,supinum
i estis,indicativus,perfectum,passivum,tweede,pluralis,supinum
i sunt,indicativus,perfectum,passivum,derde,pluralis,supinum
us eram,indicativus,plusquamperfectum,passivum,eerste,singularis,supinum
us eras,indicativus,plusquamperfectum,passivum,tweede,singularis,supinum
us erat,indicativus,plusquamperfectum,passivum,derde,singularis,supinum
i eramus,indicativus,plusquamperfectum,passivum,eerste,pluralis,supinum
i eratis,indicativus,plusquamperfectum,passivum,tweede,pluralis,supinum
i erant,indicativus,plusquamperfectum,passivum,derde,pluralis,supinum
us ero,indicativus,futurum exactum,passivum,eerste,singularis,supinum
us eris,indicativus,futurum exactum,passivum,tweede,singularis,supinum
us erit,indicativus,futurum exactum,passivum,derde,singularis,supinum
i erimus,indicativus,futurum exactum,passivum,eerste,pluralis,supinum
i eritis,indicativus,futurum exactum,passivum,tweede,pluralis,supinum
i erunt,indicativus,futurum exactum,passivum,derde,pluralis,supinum
em,coniunctivus,praesens,activum,eerste,singularis,praesens
es,coniunctivus,praesens,activum,tweede,singularis,praesens
et,coniunctivus,praesens,activum,derde,singularis,praesens
emus,coniunctivus,praesens,activum,eerste,pluralis,praesens
etis,coniunctivus,praesens,activum,tweede,pluralis,praesens
ent,coniunctivus,praesens,activum,derde,pluralis,praesens
arem,coniunctivus,imperfectum,activum,eerste,singularis,praesens
ares,coniunctivus,imperfectum,activum,tweede,singularis,praesens
aret,coniunctivus,imperfectum,activum,derde,singularis,praesens
aremus,coniunctivus,imperfectum,activum,eerste,pluralis,praesens
aretis,coniunctivus,imperfectum,activum,tweede,pluralis,praesens
arent,coniunctivus,imperfectum,activum,derde,pluralis,praesens
erim,coniunctivus,perfectum,activum,eerste,singularis,perfectum
eris,coniunctivus,perfectum,activum,tweede,singularis,perfectum
erit,coniunctivus,perfectum,activum,derde,singularis,perfectum
erimus,coniunctivus,perfectum,activum,eerste,pluralis,perfectum
eritis,coniunctivus,perfectum,activum,tweede,pluralis,perfectum
erint,coniunctivus,perfectum,activum,derde,pluralis,perfectum
issem,coniunctivus,plusquamperfectum,activum,eerste,singularis,perfectum
isses,coniunctivus,plusquamperfectum,activum,tweede,singularis,perfectum
isset,coniunctivus,plusquamperfectum,activum,derde,singularis,perfectum
issemus,coniunctivus,plusquamperfectum,activum,eerste,pluralis,perfectum
issetis,coniunctivus,plusquamperfectum,activum,tweede,pluralis,perfectum
issent,coniunctivus,plusquamperfectum,activum,derde,pluralis,perfectum
er,coniunctivus,praesens,passivum,eerste,singularis,praesens
eris,coniunctivus,praesens,passivum,tweede,singularis,praesens
etur,coniunctivus,praesens,passivum,derde,singularis,praesens
emur,coniunctivus,praesens,passivum,eerste,pluralis,praesens
emini,coniunctivus,praesens,passivum,tweede,pluralis,praesens
entur,coniunctivus,praesens,passivum,derde,pluralis,praesens
arer,coniunctivus,imperfectum,passivum,eerste,singularis,praesens
areris,coniunctivus,imperfectum,passivum,tweede,singularis,praesens
aretur,coniunctivus,imperfectum,passivum,derde,singularis,praesens
aremur,coniunctivus,imperfectum,passivum,eerste,pluralis,praesens
aremini,coniunctivus,imperfectum,passivum,tweede,pluralis,praesens
arentur,coniunctivus,imperfectum,passivum,derde,pluralis,praesens
us sim,coniunctivus,perfectum,passivum,eerste,singularis,supinum
us sis,coniunctivus,perfectum,passivum,tweede,singularis,supinum
us sit,coniunctivus,perfectum,passivum,derde,singularis,supinum
i simus,coniunctivus,perfectum,passivum,eerste,pluralis,supinum
i sitis,coniunctivus,perfectum,passivum,tweede,pluralis,supinum
i sint,coniunctivus,perfectum,passivum,derde,pluralis,supinum
us essem,coniunctivus,plusquamperfectum,passivum,eerste,singularis,supinum
us esses,coniunctivus,plusquamperfectum,passivum,tweede,singularis,supinum
us esset,coniunctivus,plusquamperfectum,passivum,derde,singularis,supinum
i essemus,coniunctivus,plusquamperfectum,passivum,eerste,pluralis,supinum
i essetis,coniunctivus,plusquamperfectum,passivum,tweede,pluralis,supinum
i essent,coniunctivus,plusquamperfectum,passivum,derde,pluralis,supinum
a,imperativus,praesens,activum,tweede,singularis,praesens
ate,imperativus,praesens,activum,tweede,pluralis,praesens
ns,participium,praesens,activum,,singularis,infinitivus
us,participium,perfectum,passivum,,singularis,supinum
urus,participium,futurum,activum,,singularis,supinum
re,infinitivus,praesens,activum,,,infinitivus
isse,infinitivus,perfectum,activum,,,perfectum
urus esse,infinitivus,futurum,activum,,,supinum
ri,infinitivus,praesens,passivum,,,infinitivus
us esse,infinitivus,perfectum,passivum,,,supinum
um iri,infinitivus,futurum,passivum,,,supinum
